Account ID,Date of Creation,# Zaps,Plan Type,Average tasks used past 90-days,Filters,Formatter,Chrome Extension,Paths,Salesforce,Dropbox,Google Sheets,Code by Zapier,Webhooks,OpenAI/ChatGPT
783448,2017-09-23,20,Starter,488,1,1,1,0,1,0,1,1,1,1
2003616,2019-04-24,76,Teams,12631,1,1,1,0,1,1,1,1,0,1
621712,2020-04-04,48,Pro,2745,1,0,1,0,1,1,1,1,1,1
2255154,2017-04-28,34,Pro,2728,0,1,1,1,1,1,1,1,1,0
504791,2020-07-22,210,Teams,8697,1,1,1,0,1,1,1,0,1,1
2542100,2022-07-11,166,Teams,24643,1,0,1,1,1,0,1,1,1,1
252642,2020-11-30,19,Pro,605,0,1,1,1,1,1,1,1,0,1
2950102,2023-01-23,12,Starter,744,0,1,1,0,1,1,1,1,1,1
357282,2022-03-16,6,Starter,72,1,1,0,0,1,1,1,1,1,1
1179812,2022-06-21,58,Pro,1076,1,1,1,1,1,1,0,1,0,1
2138539,2021-05-25,38,Pro,3443,1,0,1,1,1,0,1,1,1,1
1547190,2022-10-21,1,Starter,732,1,1,1,0,1,0,1,1,1,1
2326962,2019-06-10,192,Teams,3253,1,0,1,1,0,1,1,1,1,1
790144,2021-01-24,6,Pro,1856,1,0,1,1,1,1,1,0,1,1
633591,2017-03-04,45,Company,17676,1,0,1,0,1,1,1,1,1,1
1721672,2020-11-09,9,Starter,509,1,0,1,0,1,1,1,1,1,1
2980859,2017-10-30,104,Teams,18326,0,1,1,1,1,1,1,1,0,1
1001202,2017-02-21,31,Pro,3809,1,0,1,1,1,1,1,1,0,1
1082044,2022-09-06,1,Pro,4482,1,0,0,1,1,1,1,1,1,1
2475226,2018-08-21,10,Pro,3834,1,1,1,1,1,0,1,1,1,0
1541563,2020-11-20,33,Pro,1577,1,1,1,0,0,1,1,1,1,1
1168713,2021-01-10,5,Pro,2481,1,1,1,0,1,1,1,1,1,0
1300810,2018-01-31,19,Starter,1172,1,1,1,0,1,1,0,1,1,1
2496369,2022-01-31,199,Teams,22305,1,1,1,0,1,1,1,1,1,0
1241822,2019-02-11,47,Pro,3318,1,1,0,1,1,1,1,0,1,1
1773578,2021-12-08,9,Teams,34187,1,1,1,1,1,0,1,0,1,1
2363990,2019-12-13,15,Starter,142,1,0,1,0,1,1,1,1,1,1
965862,2021-06-28,239,Teams,41406,1,1,1,1,1,1,0,0,1,1
1395769,2023-02-22,180,Teams,6455,1,1,1,1,0,0,1,1,1,1
2816760,2019-03-30,21,Pro,2178,0,1,1,1,1,0,1,1,1,1
2753671,2023-03-03,3,Pro,3990,1,0,1,1,1,1,1,1,1,0
1410925,2019-03-27,1,Starter,1154,1,1,1,0,1,0,1,1,1,1
234581,2021-03-04,17,Starter,564,1,1,1,0,1,1,1,1,1,0
2785713,2018-07-28,57,Pro,4677,0,1,1,1,0,1,1,1,1,1
1940676,2019-09-16,26,Pro,4487,1,1,0,1,1,0,1,1,1,1
2069215,2017-06-16,28,Pro,2140,1,1,0,1,1,1,1,0,1,1
2673697,2021-11-18,5,Starter,1203,1,0,1,0,1,1,1,1,1,1
1373398,2023-01-06,18,Pro,3943,1,1,1,1,0,1,1,0,1,1
546518,2017-11-10,23,Pro,1611,1,1,1,1,1,1,0,1,1,0
2848698,2020-04-18,20,Pro,2140,1,1,1,1,1,1,0,1,0,1
2584709,2019-05-11,229,Teams,32505,1,1,0,1,1,1,1,1,0,1
416825,2021-01-16,259,Company,17485,1,0,1,0,1,1,1,1,1,1
1963205,2022-12-27,14,Starter,1012,0,1,1,0,1,1,1,1,1,1
153184,2017-04-13,31,Pro,4,1,0,1,1,1,1,1,1,0,1
127136,2021-05-03,21,Pro,4336,1,1,1,1,1,1,0,0,1,1
233143,2022-09-30,3,Starter,1209,1,1,0,0,1,1,1,1,1,1
2796568,2017-03-31,13,Starter,487,1,1,1,0,1,0,1,1,1,1
2915427,2017-11-05,18,Starter,1484,1,1,1,0,1,1,1,1,0,1
210663,2018-06-26,5,Starter,746,1,1,0,0,1,1,1,1,1,1
597411,2020-11-01,201,Teams,49405,1,1,1,0,1,0,1,1,1,1
824081,2022-02-18,32,Pro,4604,1,1,1,0,1,1,0,1,1,1
1287984,2017-02-20,8,Starter,624,0,1,1,0,1,1,1,1,1,1
713243,2023-03-04,36,Pro,3132,1,1,1,1,1,0,1,1,0,1
2336455,2021-09-27,37,Pro,777,1,1,1,0,1,0,1,1,1,1
413054,2018-01-23,37,Pro,1910,1,0,1,1,1,1,1,1,1,0
200425,2022-01-18,208,Teams,43059,1,1,1,1,0,0,1,1,1,1
1973874,2021-01-05,38,Pro,903,0,1,1,1,1,1,0,1,1,1
2217176,2022-08-03,238,Teams,7643,1,1,0,1,1,1,1,0,1,1
2770888,2022-09-02,13,Starter,42,1,1,1,0,0,1,1,1,1,1
608297,2017-05-17,107,Teams,40409,1,1,1,1,1,0,1,1,0,1
595070,2022-11-03,3,Pro,2510,1,1,0,1,1,1,0,1,1,1
916696,2017-05-08,7,Starter,322,1,1,1,0,1,1,1,1,1,0
1357925,2021-07-30,47,Pro,2417,1,1,1,0,1,1,1,1,1,0
1469880,2022-11-19,4,Starter,350,1,1,1,0,0,1,1,1,1,1
2292034,2020-06-03,5,Pro,2906,1,0,1,1,0,1,1,1,1,1
1433297,2020-07-31,15,Starter,1499,1,1,1,0,1,1,0,1,1,1
1591321,2022-01-24,16,Starter,1322,1,0,1,0,1,1,1,1,1,1
2161246,2018-02-13,55,Pro,327,1,1,1,1,1,1,0,1,0,1
1524278,2021-09-17,19,Starter,185,1,1,1,0,1,1,0,1,1,1
748345,2020-05-05,4,Starter,286,1,1,1,0,1,1,1,1,1,0
1490266,2019-10-15,6,Pro,2002,1,0,1,1,0,1,1,1,1,1
2387061,2022-03-01,1,Starter,1387,1,0,1,0,1,1,1,1,1,1
1973056,2019-01-23,12,Pro,3875,0,1,1,1,1,1,0,1,1,1
129553,2018-12-26,18,Pro,3042,1,1,0,1,1,1,0,1,1,1
2132921,2018-05-03,51,Pro,2727,1,1,1,1,1,0,1,1,0,1
568299,2020-11-08,13,Starter,145,1,1,0,0,1,1,1,1,1,1
881118,2018-03-12,36,Pro,1679,1,1,1,0,1,1,1,1,1,0
843792,2020-01-03,255,Teams,30751,1,1,1,1,0,1,1,1,0,1
1437426,2018-04-14,285,Teams,39393,1,1,1,1,1,1,0,1,0,1
2058612,2018-03-22,44,Pro,1252,1,0,1,1,1,1,1,1,0,1
1617489,2019-05-11,13,Starter,111,0,1,1,0,1,1,1,1,1,1
1777894,2019-10-27,36,Pro,134,1,1,0,1,1,1,1,0,1,1
1364786,2021-01-02,179,Teams,23941,1,1,0,1,1,1,0,1,1,1
2031180,2018-04-13,4,Starter,1419,1,1,0,0,1,1,1,1,1,1
399455,2020-07-23,10,Starter,1372,1,0,1,0,1,1,1,1,1,1
2671358,2022-12-26,1,Pro,4333,0,1,1,1,1,1,1,1,0,1
1735119,2021-11-21,20,Starter,864,1,1,0,0,1,1,1,1,1,1
695116,2022-08-18,12,Pro,3457,1,1,1,0,0,1,1,1,1,1
404191,2022-02-28,8,Pro,173,0,1,1,1,1,1,1,0,1,1
1887964,2017-06-03,33,Pro,1536,1,1,1,1,1,0,1,1,0,1
1901520,2018-11-10,4,Starter,558,1,0,1,0,1,1,1,1,1,1
2732100,2020-05-04,14,Teams,25163,1,1,1,1,1,1,0,1,0,1
307077,2018-10-02,18,Starter,924,1,1,0,0,1,1,1,1,1,1
782573,2020-01-09,8,Pro,698,1,0,1,1,1,1,1,1,1,0
2906839,2022-08-08,46,Pro,2872,1,0,1,1,1,1,1,1,0,1
1482966,2021-05-28,47,Teams,25515,1,0,1,0,1,1,1,1,1,1
1883964,2021-06-14,13,Starter,62,1,1,1,0,1,0,1,1,1,1
1730743,2021-07-21,6,Starter,105,1,1,1,0,1,1,1,0,1,1
694691,2023-01-18,49,Pro,857,1,1,0,1,1,1,1,0,1,1
663909,2022-08-15,292,Teams,8078,1,1,0,1,1,1,1,1,1,0
2651677,2017-12-11,52,Pro,2700,1,1,1,0,1,1,1,0,1,1
727702,2017-11-07,8,Starter,1421,1,1,0,0,1,1,1,1,1,1
1303786,2017-02-16,30,Pro,4436,1,0,1,1,1,1,1,1,1,0
1368177,2020-11-26,10,Pro,2300,0,1,1,1,1,0,1,1,1,1
1394713,2020-08-01,4,Starter,1271,1,1,1,0,1,1,1,1,1,0
107619,2019-06-22,24,Pro,3906,1,1,1,1,0,1,1,0,1,1
2307638,2019-06-23,11,Pro,3064,0,1,1,1,1,1,1,0,1,1
2215370,2022-09-05,45,Pro,2040,1,1,1,1,0,1,1,1,0,1
495592,2018-11-11,84,Teams,26481,1,1,0,1,1,0,1,1,1,1
2915126,2022-06-08,16,Starter,729,1,1,0,0,1,1,1,1,1,1
618916,2022-08-12,49,Pro,2862,1,1,1,1,1,0,1,0,0,1
1694335,2019-02-04,2,Starter,1147,1,1,1,0,1,0,1,0,1,1
1704256,2019-12-27,59,Pro,2748,1,0,1,0,1,1,1,0,1,1
747059,2021-07-07,10,Starter,1481,1,1,1,0,1,1,0,0,1,1
647213,2017-10-06,32,Pro,1390,0,1,1,0,0,1,1,1,1,1
1686388,2020-09-22,36,Pro,4755,1,0,0,1,1,0,1,1,1,1
2596164,2017-11-29,261,Teams,43886,1,0,1,1,1,1,1,1,0,0
2264657,2023-01-07,216,Teams,12368,0,0,1,1,1,0,1,1,1,1
1728865,2019-08-11,7,Starter,1016,1,1,1,0,1,0,0,1,1,1
1135691,2022-12-21,7,Pro,3723,0,1,1,1,1,1,0,1,0,1
1081290,2021-07-06,6,Starter,573,0,0,1,0,1,1,1,1,1,1
862755,2019-02-11,2,Starter,1432,1,1,1,0,1,0,1,0,1,1
2192924,2019-05-20,54,Pro,3976,0,1,0,1,1,1,0,1,1,1
1756798,2020-06-07,45,Pro,3444,1,1,1,1,0,0,0,1,1,1
1850391,2017-02-06,24,Pro,3640,0,0,0,1,1,1,1,1,1,1
885231,2022-08-18,27,Pro,753,1,0,1,1,0,1,0,1,1,1
1121723,2021-10-13,13,Starter,66,1,1,1,0,1,0,0,1,1,1
120070,2021-07-13,292,Company,44413,1,0,1,1,1,1,0,1,1,0
394239,2018-07-27,1,Pro,4316,1,1,1,1,1,0,0,0,1,1
2703973,2022-09-15,40,Pro,1420,1,0,1,1,0,1,0,1,1,1
2074735,2017-05-22,54,Pro,3006,1,1,0,1,1,1,0,0,1,1
1865498,2022-06-09,75,Teams,19877,0,1,1,1,1,1,0,1,0,1
1170448,2019-06-20,3,Starter,1230,1,0,0,0,1,1,1,1,1,1
1858588,2018-11-02,24,Pro,3737,1,1,1,0,1,0,1,1,1,0
2101229,2020-04-21,161,Teams,9614,0,1,1,1,1,1,1,0,1,0
833256,2020-06-16,19,Pro,2209,1,1,0,1,0,1,1,0,1,1
2310957,2019-04-11,11,Pro,491,1,1,1,1,1,1,0,1,0,0
2429342,2021-03-21,32,Pro,4661,0,1,1,0,1,1,1,0,1,1
2873682,2020-08-22,94,Company,25881,0,1,1,1,1,1,0,1,1,0
2884349,2020-04-17,43,Pro,4206,0,1,1,1,1,1,1,0,0,1
1399736,2019-10-09,33,Pro,3428,1,0,1,0,1,1,1,1,1,0
2608530,2021-03-19,16,Starter,975,1,0,1,0,1,1,1,1,1,0
2743890,2023-02-28,7,Pro,1784,0,1,0,1,1,1,1,1,1,0
2008554,2021-05-31,30,Pro,471,1,1,1,0,1,0,0,1,1,1
2937121,2018-01-28,252,Teams,11173,1,1,1,1,0,1,0,0,1,1
881651,2017-05-01,17,Starter,907,1,1,0,0,1,1,1,1,0,1
1112056,2020-12-02,25,Pro,2485,0,0,1,1,1,1,1,1,0,1
2091837,2017-06-05,49,Pro,1892,1,1,1,1,0,0,0,1,1,1
1883929,2021-12-05,187,Company,1017,1,0,1,1,1,1,1,0,1,0
2837056,2021-08-04,59,Pro,2757,1,1,1,0,1,1,0,0,1,1
2076977,2020-09-06,8,Starter,536,1,1,1,0,0,1,1,1,0,1
1317986,2020-07-19,43,Pro,2205,0,1,1,0,1,0,1,1,1,1
1549564,2020-06-30,19,Starter,532,1,0,1,0,1,0,1,1,1,1
1702111,2021-12-30,2,Starter,1010,1,1,0,0,1,1,0,1,1,1
2672393,2018-11-27,262,Company,3220,0,1,1,0,1,1,1,0,1,1
2754859,2021-05-22,82,Teams,12955,1,1,1,1,1,0,1,0,1,0
1220780,2019-02-19,28,Pro,2694,0,1,1,0,1,1,1,0,1,1
360462,2023-01-17,55,Pro,1232,1,0,1,0,0,1,1,1,1,1
1423572,2021-07-27,5,Starter,954,1,1,1,0,1,0,1,1,0,1
140225,2021-10-08,12,Pro,375,1,1,1,1,1,1,1,0,0,0
1568422,2018-04-04,116,Teams,9489,1,1,1,0,1,0,1,0,1,1
1945766,2022-04-07,20,Pro,4562,1,1,0,1,0,1,1,1,1,0
2279110,2020-08-12,3,Starter,913,1,0,0,0,1,1,1,1,1,1
1299873,2018-11-25,20,Starter,956,1,1,1,0,1,1,1,0,0,1
1859857,2017-05-18,3,Starter,1476,1,0,1,0,1,0,1,1,1,1
2305278,2022-10-14,28,Pro,540,1,1,1,0,1,1,0,0,1,1
1151200,2018-01-16,12,Starter,320,0,0,1,0,1,1,1,1,1,1
1299936,2021-10-24,37,Pro,4241,1,0,1,0,1,0,1,1,1,1
250510,2019-08-23,16,Starter,1361,1,0,1,0,1,0,1,1,1,1
1669107,2018-03-29,5,Starter,1045,1,1,1,0,1,0,0,1,1,1
1312870,2020-03-06,49,Pro,1227,1,1,1,0,1,1,0,1,1,0
2206026,2020-11-11,20,Starter,847,1,1,0,0,1,1,0,1,1,1
1772514,2021-04-20,2,Starter,1477,0,1,0,0,1,1,1,1,1,1
2761939,2020-04-28,54,Pro,4104,1,1,1,0,0,1,1,1,0,1
289356,2017-01-23,9,Pro,1540,1,1,1,1,0,1,1,1,0,0
1583235,2020-11-02,10,Pro,798,1,0,1,0,1,1,1,1,1,0
761773,2018-03-16,18,Starter,534,1,1,0,0,0,1,1,1,1,1
2403590,2020-01-11,35,Pro,631,1,1,0,0,1,1,1,1,1,0
211697,2017-04-12,47,Pro,3438,1,1,1,1,1,0,1,0,0,1
1752431,2019-08-15,48,Pro,3763,1,1,1,1,1,1,0,0,0,1
2786272,2019-02-16,19,Company,26590,1,1,1,1,0,1,1,0,1,0
1069420,2018-02-27,258,Teams,19728,1,1,1,1,0,1,1,0,1,0
2191223,2019-12-01,22,Pro,225,1,1,0,1,0,1,1,1,1,0
141453,2019-04-18,9,Starter,201,1,1,1,0,1,1,1,0,0,1
129859,2019-06-12,12,Starter,1216,0,1,0,0,1,1,1,1,1,1
562118,2018-09-22,35,Pro,4387,1,1,1,0,1,0,1,1,1,0
755115,2020-02-01,16,Starter,200,1,1,1,0,1,0,1,1,1,0
585679,2021-08-03,9,Starter,535,1,1,0,0,1,1,0,1,1,1
172504,2020-02-29,178,Teams,707,0,1,1,0,1,1,1,1,0,1
1943782,2017-01-10,10,Starter,214,1,0,1,0,1,1,0,1,1,1
2086415,2021-02-10,5,Starter,100,1,1,1,0,1,1,0,1,1,0
1347039,2023-03-29,34,Pro,11,1,1,1,0,1,1,1,0,0,1
1233568,2020-07-27,6,Pro,4117,1,1,1,1,1,0,0,1,1,0
2506102,2019-06-12,30,Pro,2539,1,0,1,1,1,1,1,0,1,0
564170,2022-02-17,39,Pro,405,1,1,1,0,0,1,1,0,1,1
2709533,2021-05-31,49,Pro,4332,0,1,1,0,1,1,0,1,1,1
2830765,2020-04-21,19,Starter,292,1,1,0,0,1,1,0,1,1,1
530652,2017-08-11,236,Teams,31648,1,0,1,0,1,1,0,1,1,1
1876639,2022-07-17,273,Teams,46423,1,1,0,1,0,1,0,1,1,1
2242295,2021-07-19,25,Pro,2204,1,0,1,0,1,1,1,1,1,0
676350,2020-08-06,209,Teams,47056,1,0,0,1,1,1,0,1,1,1
2395603,2017-04-11,16,Starter,366,1,1,1,0,0,1,1,0,1,1
1120476,2021-11-07,32,Pro,1053,0,1,1,1,1,0,1,1,1,0
1105997,2020-07-16,6,Starter,1204,1,0,1,0,1,1,1,0,1,1
2613454,2018-07-31,31,Pro,1685,1,1,0,1,1,1,0,1,1,0
918256,2017-05-22,8,Starter,21,1,1,0,0,0,1,1,1,1,1
2320114,2017-05-16,141,Teams,11096,1,0,0,1,1,1,1,1,0,1
1913672,2017-11-11,27,Pro,4802,1,0,1,1,0,0,1,1,1,1
1501235,2018-01-29,4,Pro,1349,1,1,0,1,0,1,1,1,0,1
111368,2017-04-12,12,Starter,478,1,1,1,0,0,0,1,1,1,1
1679500,2017-12-19,38,Pro,1624,0,0,1,1,1,0,1,1,1,1
1660724,2022-03-27,6,Starter,1013,1,1,1,0,1,1,0,1,0,1
903030,2017-09-07,7,Pro,3888,1,1,0,0,1,1,0,1,1,1
1634135,2021-11-29,26,Pro,4756,0,1,1,0,1,1,1,1,1,0
2359960,2022-09-24,6,Starter,558,0,1,1,0,1,1,1,1,1,0
2865471,2021-08-22,14,Starter,67,1,1,1,0,1,0,1,1,0,1
931145,2022-01-04,55,Teams,21450,1,1,1,0,1,1,0,0,1,1
2371236,2021-03-31,6,Pro,109,0,0,1,0,1,1,1,1,1,1
764969,2017-04-06,55,Pro,1273,0,1,1,1,1,1,0,1,0,1
408049,2020-01-19,60,Pro,2659,0,1,0,1,1,1,1,1,1,0
479612,2019-08-23,7,Starter,1060,0,1,1,0,1,1,1,1,1,0
153598,2020-02-14,16,Starter,583,1,1,0,0,0,1,1,1,1,1
2473831,2019-10-26,255,Company,48286,1,0,1,0,0,1,1,1,1,1
1659028,2019-03-23,2,Starter,131,1,1,1,0,1,1,1,0,0,1
2209156,2021-07-12,15,Pro,2033,1,0,1,1,0,0,1,1,1,1
2055644,2020-06-13,3,Starter,1450,1,1,1,0,1,1,0,1,0,1
2514849,2020-10-03,7,Pro,3971,1,0,0,1,1,1,1,0,1,1
365486,2018-03-21,5,Pro,529,1,1,1,0,0,0,1,1,1,1
2506402,2022-11-17,59,Pro,2822,1,1,1,1,0,0,1,0,1,1
396938,2019-10-03,34,Pro,2986,1,0,1,1,1,1,1,0,1,0
2194560,2020-08-12,47,Pro,3637,0,1,1,1,0,0,1,1,1,1
1864411,2019-04-23,211,Teams,25963,1,1,0,1,0,1,0,1,1,1
1289622,2018-04-12,16,Company,17866,0,1,1,0,1,1,1,0,1,1
170291,2022-05-02,3,Pro,3490,1,1,1,0,1,1,0,0,1,1
1449682,2017-11-14,3,Starter,1260,1,1,1,0,1,1,0,1,0,1
2525927,2020-07-19,3,Starter,11,1,1,1,0,1,0,1,0,1,1
1326309,2018-11-27,5,Starter,1208,0,1,0,0,1,1,1,1,1,1
1847592,2017-03-31,37,Pro,2536,0,0,1,1,1,0,1,1,1,1
2211770,2019-11-25,20,Starter,119,1,0,1,0,0,1,1,1,1,1
1173181,2021-10-21,42,Pro,3387,1,1,1,0,0,1,1,1,0,1
2400792,2020-07-23,19,Pro,4012,0,1,1,0,1,1,1,1,0,1
2766628,2018-07-10,57,Company,8037,0,1,1,0,1,1,0,1,1,1
898482,2018-07-19,10,Starter,975,1,0,1,0,1,1,1,1,1,0
359828,2020-12-13,6,Starter,498,1,1,1,0,1,0,0,1,1,1
515581,2018-04-28,22,Pro,2778,0,0,0,1,1,1,1,1,1,1
1610496,2018-08-25,16,Pro,1321,1,0,1,1,1,1,1,0,0,1
1132982,2020-06-17,14,Starter,209,0,1,1,0,1,1,0,1,1,1
156292,2019-02-17,8,Pro,1103,1,1,1,0,1,1,0,1,1,0
1977412,2018-12-26,17,Starter,426,1,1,1,0,0,1,1,1,0,1
1065500,2022-02-05,7,Starter,1219,1,0,1,0,0,1,1,1,1,1
2355939,2020-10-15,74,Teams,17807,1,1,0,1,1,0,1,1,0,1
618486,2019-05-07,18,Starter,967,1,1,0,0,1,1,1,1,0,1
285343,2021-09-25,53,Pro,71,1,1,1,0,0,1,0,1,1,1
314834,2017-01-11,9,Pro,4437,1,0,0,1,1,1,1,1,1,0
1277861,2019-04-30,15,Starter,59,1,1,1,0,1,1,0,0,1,1
792277,2023-01-18,1,Pro,4916,1,0,1,1,1,1,1,1,0,0
2249303,2021-03-10,58,Pro,4227,1,0,1,1,0,1,1,1,0,1
2445776,2019-10-01,11,Starter,427,1,1,1,0,0,1,1,1,0,1
1845377,2020-11-28,53,Pro,3857,0,1,1,0,1,1,1,0,1,1
2369952,2022-03-15,243,Teams,39366,1,1,1,1,0,1,1,0,1,0
1822777,2021-06-28,27,Pro,2740,1,0,1,1,1,1,1,0,0,1
1715288,2022-03-19,19,Starter,372,1,1,0,0,0,1,1,1,1,1
1533880,2018-02-06,13,Pro,1779,1,1,1,1,1,0,0,1,1,0
1907987,2019-07-14,26,Pro,2118,0,0,1,0,1,1,1,1,1,1
802739,2017-07-09,7,Starter,604,1,1,0,0,0,1,1,1,1,1
2457337,2021-05-12,20,Starter,1330,0,1,0,0,1,1,1,1,1,1
809143,2022-01-25,59,Teams,9629,0,0,1,1,0,1,1,1,1,1
1334985,2019-01-16,40,Pro,4408,0,0,1,1,1,1,1,0,1,1
1773862,2017-11-06,32,Pro,3924,1,1,1,0,1,0,1,1,1,0
1518180,2019-05-24,44,Pro,3068,1,1,0,1,1,0,0,1,1,1
2623381,2017-10-15,19,Starter,1308,1,0,1,0,1,1,1,0,1,1
1426008,2018-08-18,6,Starter,1187,1,1,1,0,1,1,0,1,1,0
2644315,2021-12-30,20,Starter,844,0,1,1,0,0,1,1,1,1,1
2585024,2019-08-12,9,Pro,522,1,1,1,1,0,0,0,1,1,1
151489,2021-07-17,13,Starter,989,1,0,1,0,0,1,1,1,1,1
597935,2021-04-01,1,Starter,499,1,1,1,0,1,1,1,0,1,0
1442707,2022-09-16,1,Starter,379,0,1,1,0,1,1,1,0,1,1
1784372,2019-10-12,17,Pro,116,1,1,0,1,1,0,1,0,1,1
2719602,2017-12-17,14,Starter,1195,0,1,1,0,1,0,1,1,1,1
